variant,ideal_macro_f1,all_shift_macro_f1,shift_ci95_low,shift_ci95_high,degradation
BioAlign_full,0.6957,0.3876,0.3366,0.4386,0.3081
No_Circular_Alignment,0.6416,0.2790,0.2348,0.3232,0.3626
